fillStatus,pricingGroupTitle,pricingItemTitle,businessLabel,whatToEnter,ruleID,groupID,valueKind,scheduleInputKey,expectedValueType,unitLabel,currentDraftBaseline,businessNumericValue,businessTextValue,businessNotes
TODO,Base Structure,Frame and Roof Package,Lead time weeks,"Typical lead time in weeks for the structure base package.",structure.base_package,base-structure,scheduleInput,lead_time_weeks,number,weeks,4,,,
TODO,Base Structure,Attachment and Support Package,Attachment/support unit cost,"Internal unit cost per linear foot for attachment/support conditions.",structure.attachment_support_conditions,base-structure,draftUnitCost,,currency,lf,8,,,
TODO,Base Structure,Attachment and Support Package,Attachment/support unit price,"Sell price per linear foot for attachment/support conditions.",structure.attachment_support_conditions,base-structure,draftUnitPrice,,currency,lf,12,,,
TODO,Base Structure,Attachment and Support Package,Attachment/support fee,"Flat fee used with the attachment/support bucket.",structure.attachment_support_conditions,base-structure,feeAmount,,currency,,240,,,
TODO,Base Structure,Attachment and Support Package,Attachment/support markup percent,"Markup percent applied to the attachment/support bucket.",structure.attachment_support_conditions,base-structure,markupPercent,,percent,%,22,,,
TODO,Base Structure,Attachment and Support Package,Mount condition table key,"Text key naming the mount-condition lookup table or tier.",structure.attachment_support_conditions,base-structure,scheduleInput,mount_condition_table,text,,baseline,,,
TODO,Enclosure Options,Screen / Wall Package,Screen/wall unit cost,"Internal unit cost per linear foot for screen/wall scope.",enclosure.screen_wall_selection,enclosure-options,draftUnitCost,,currency,lf,16,,,
TODO,Enclosure Options,Screen / Wall Package,Screen/wall unit price,"Sell price per linear foot for screen/wall scope.",enclosure.screen_wall_selection,enclosure-options,draftUnitPrice,,currency,lf,24,,,
TODO,Enclosure Options,Screen / Wall Package,Screen/wall markup percent,"Markup percent applied to the screen/wall bucket.",enclosure.screen_wall_selection,enclosure-options,markupPercent,,percent,%,25,,,
TODO,Enclosure Options,Screen / Wall Package,Product family key,"Text key naming the screen/wall product family or vendor family.",enclosure.screen_wall_selection,enclosure-options,scheduleInput,product_family,text,,screen_wall_standard,,,
TODO,Enclosure Options,Window System Package,Window unit cost,"Internal unit cost per bay for the window system package.",windows.system_selection,enclosure-options,draftUnitCost,,currency,bay,850,,,
TODO,Enclosure Options,Window System Package,Window unit price,"Sell price per bay for the window system package.",windows.system_selection,enclosure-options,draftUnitPrice,,currency,bay,1195,,,
TODO,Enclosure Options,Window System Package,Window markup percent,"Markup percent applied to the window system bucket.",windows.system_selection,enclosure-options,markupPercent,,percent,%,29,,,
TODO,Enclosure Options,Window System Package,Glass modifier table key,"Text key naming the glass modifier schedule or lookup table.",windows.system_selection,enclosure-options,scheduleInput,glass_modifier_table,text,,glass_default,,,
TODO,Enclosure Options,Window System Package,Bay lead time weeks,"Typical lead time in weeks per bay or for the window package.",windows.system_selection,enclosure-options,scheduleInput,bay_lead_time_weeks,number,weeks,6,,,
TODO,Enclosure Options,Knee Wall Package,Knee wall allowance,"Allowance amount carried for knee wall work.",knee_wall.selection,enclosure-options,allowanceAmount,,currency,,1450,,,
TODO,Enclosure Options,Knee Wall Package,Knee wall markup percent,"Markup percent applied to the knee wall allowance bucket.",knee_wall.selection,enclosure-options,markupPercent,,percent,%,20,,,
TODO,Enclosure Options,Knee Wall Package,Wall buildup schedule key,"Text key naming the knee-wall build-up schedule or allowance tier.",knee_wall.selection,enclosure-options,scheduleInput,wall_buildup_schedule,text,,allowance_only,,,
TODO,Enclosure Options,Door Package,Door package unit cost,"Internal unit cost for the scoped door package.",doors.package_selection,enclosure-options,draftUnitCost,,currency,door,1400,,,
TODO,Enclosure Options,Door Package,Door package unit price,"Sell price for the scoped door package.",doors.package_selection,enclosure-options,draftUnitPrice,,currency,door,1895,,,
TODO,Enclosure Options,Door Package,Door package fee,"Flat door package fee if used in the pricing model.",doors.package_selection,enclosure-options,feeAmount,,currency,,1895,,,
TODO,Enclosure Options,Door Package,Door package markup percent,"Markup percent applied to the door package bucket.",doors.package_selection,enclosure-options,markupPercent,,percent,%,26,,,
TODO,Enclosure Options,Door Package,Door family key,"Text key naming the door family, product line, or lookup tier.",doors.package_selection,enclosure-options,scheduleInput,door_family,text,,single_package,,,
TODO,Electrical and Drainage,Electrical Package,Electrical unit cost,"Internal unit cost per outlet for the electrical bucket.",electrical.scope_package,electrical-drainage,draftUnitCost,,currency,outlet,145,,,
TODO,Electrical and Drainage,Electrical Package,Electrical unit price,"Sell price per outlet for the electrical bucket.",electrical.scope_package,electrical-drainage,draftUnitPrice,,currency,outlet,225,,,
TODO,Electrical and Drainage,Electrical Package,Electrical package fee,"Flat electrical fee used alongside outlet pricing if needed.",electrical.scope_package,electrical-drainage,feeAmount,,currency,,320,,,
TODO,Electrical and Drainage,Electrical Package,Electrical markup percent,"Markup percent applied to the electrical bucket.",electrical.scope_package,electrical-drainage,markupPercent,,percent,%,28,,,
TODO,Electrical and Drainage,Electrical Package,Circuit adder table key,"Text key naming the electrical/circuit adder lookup table.",electrical.scope_package,electrical-drainage,scheduleInput,circuit_adder_table,text,,baseline,,,
TODO,Electrical and Drainage,Drainage Package,Drainage package fee,"Flat drainage package fee.",drainage.scope_package,electrical-drainage,feeAmount,,currency,,980,,,
TODO,Electrical and Drainage,Drainage Package,Drainage markup percent,"Markup percent applied to the drainage package.",drainage.scope_package,electrical-drainage,markupPercent,,percent,%,21,,,
TODO,Electrical and Drainage,Drainage Package,Drainage package type key,"Text key naming the drainage package or lookup tier.",drainage.scope_package,electrical-drainage,scheduleInput,drainage_package_type,text,,standard_package,,,
TODO,"Finishes, Permits, and Closeout",Finish Package,Finish package fee,"Flat finish package fee.",finishes.scope_package,finishes-permits-and-closeout,feeAmount,,currency,,720,,,
TODO,"Finishes, Permits, and Closeout",Finish Package,Finish markup percent,"Markup percent applied to the finish package.",finishes.scope_package,finishes-permits-and-closeout,markupPercent,,percent,%,24,,,
TODO,"Finishes, Permits, and Closeout",Finish Package,Finish system key,"Text key naming the finish system or package family.",finishes.scope_package,finishes-permits-and-closeout,scheduleInput,finish_system,text,,standard_finish,,,
TODO,"Finishes, Permits, and Closeout",Permit and Engineering Allowance,Permit/engineering allowance,"Allowance amount for permit and engineering requirements.",permits.requirements,finishes-permits-and-closeout,allowanceAmount,,currency,,1650,,,
TODO,"Finishes, Permits, and Closeout",Permit and Engineering Allowance,Permit/admin fee,"Flat permit/admin fee if used alongside the allowance.",permits.requirements,finishes-permits-and-closeout,feeAmount,,currency,,450,,,
TODO,"Finishes, Permits, and Closeout",Permit and Engineering Allowance,Permit/engineering markup percent,"Markup percent applied to the permit/engineering bucket.",permits.requirements,finishes-permits-and-closeout,markupPercent,,percent,%,0,,,
TODO,"Finishes, Permits, and Closeout",Permit and Engineering Allowance,Jurisdiction schedule key,"Text key naming the jurisdiction-specific permit/engineering schedule.",permits.requirements,finishes-permits-and-closeout,scheduleInput,jurisdiction_schedule,text,,default_jurisdiction,,,
TODO,"Finishes, Permits, and Closeout",Project Coordination and Closeout,Closeout/coordinator fee,"Flat coordination or closeout fee.",closeout.coordination,finishes-permits-and-closeout,feeAmount,,currency,,360,,,
TODO,"Finishes, Permits, and Closeout",Project Coordination and Closeout,Closeout markup percent,"Markup percent applied to the coordination/closeout bucket.",closeout.coordination,finishes-permits-and-closeout,markupPercent,,percent,%,18,,,
TODO,"Finishes, Permits, and Closeout",Project Coordination and Closeout,Closeout hours,"Typical closeout/admin hours.",closeout.coordination,finishes-permits-and-closeout,scheduleInput,closeout_hours,number,hrs,3,,,
